doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission,char_count
iuh-huong-dan-dang-ky-hoc-phan,data/hoc-vu-01821/iuh-huong-dan-dang-ky-hoc-phan.md,Huong dan dang ky hoc phan IUH,https://camnang.iuh.edu.vn/huong-dan-dang-ky-hoc-phan.php,2026-08-03,not-stated,public-source,2727
ou-quy-che-hoc-vu-tin-chi,data/hoc-vu-01821/ou-quy-che-hoc-vu-tin-chi.md,Quy che hoc vu theo hoc che tin chi OU,http://v1.ou.edu.vn/qldt/Pages/Quy-che-hoc-vu-theo-hoc-che-tin-chi.aspx,2026-08-03,not-stated,public-source,38239
ueh-dang-ky-huy-hoc-phan,data/hoc-vu-01821/ueh-dang-ky-huy-hoc-phan.md,Quy dinh dang ky va huy hoc phan UEH,https://daotao.ueh.edu.vn/quy-dinh-dang-ky-va-huy-hoc-phan-da-dang-ky-cua-sinh-vien-dai-hoc-chinh-quy-trong-dao-tao-theo-he-thong-tin-chi-tai-truong-dai-hoc-kinh-te-tp-ho-chi-minh/,2026-08-03,not-stated,public-source,9420
vinuni-academic-regulations-undergrad,data/hoc-vu-01821/vinuni-academic-regulations-undergrad.md,Academic Regulations for Full-Time Undergraduate Programs,https://policy.vinuni.edu.vn/all-policies/academic-regulations-for-full-time-undergraduate-programs/,2026-08-03,not-stated,public-source,68770
vinuni-class-schedule-registration,data/hoc-vu-01821/vinuni-class-schedule-registration.md,Class Schedule and Course Registration,https://registrar.vinuni.edu.vn/academics/class-schedule-course-registration/,2026-08-03,not-stated,public-source,3973
vinuni-credit-transfer,data/hoc-vu-01821/vinuni-credit-transfer.md,Procedural Guidelines for Credit Transfer Requests,https://policy.vinuni.edu.vn/all-policies/credit-transfer-requests/,2026-08-03,not-stated,public-source,5143
vinuni-leave-of-absence,data/hoc-vu-01821/vinuni-leave-of-absence.md,Procedure for Requesting a Leave of Absence Withdrawal and Return,https://policy.vinuni.edu.vn/all-policies/procedure-for-requesting-a-leave-of-absence-withdrawal-and-return-from-a-leave-of-absence/,2026-08-03,not-stated,public-source,7398
vinuni-registrar-faqs,data/hoc-vu-01821/vinuni-registrar-faqs.md,Registrar FAQs,https://registrar.vinuni.edu.vn/faqs/,2026-08-03,not-stated,public-source,4776
vinuni-registrar-policy-index,data/hoc-vu-01821/vinuni-registrar-policy-index.md,Registrar Policy and Regulations,https://registrar.vinuni.edu.vn/academics/policy-regulations/,2026-08-03,not-stated,public-source,5476
vnuf-huong-dan-quy-che-tin-chi,data/hoc-vu-01821/vnuf-huong-dan-quy-che-tin-chi.md,Huong dan thuc hien quy che dao tao theo he thong tin chi VNUF,https://vnuf.edu.vn/huong-dan-thuc-hien-quy-che-dao-tao-dai-hoc-cao-dang-he-chinh-quy-theo-he-thong-tin-chi.html,2026-08-03,not-stated,public-source,37176
