url,doc_id,title,audience,department,category,language,document_version,license_or_permission
https://policy.vinuni.edu.vn/all-policies/academic-regulations-for-full-time-undergraduate-programs/,vinuni-academic-regulations-undergrad,Academic Regulations for Full-Time Undergraduate Programs,student,academic-affairs,academic-regulation,en,not-stated,public-source
https://policy.vinuni.edu.vn/all-policies/procedure-for-requesting-a-leave-of-absence-withdrawal-and-return-from-a-leave-of-absence/,vinuni-leave-of-absence,Procedure for Requesting a Leave of Absence Withdrawal and Return,student,academic-affairs,enrollment-status,en,not-stated,public-source
https://policy.vinuni.edu.vn/all-policies/credit-transfer-requests/,vinuni-credit-transfer,Procedural Guidelines for Credit Transfer Requests,student,academic-affairs,credit-transfer,en,not-stated,public-source
https://registrar.vinuni.edu.vn/academics/class-schedule-course-registration/,vinuni-class-schedule-registration,Class Schedule and Course Registration,student,registrar,course-registration,en,not-stated,public-source
https://registrar.vinuni.edu.vn/academics/policy-regulations/,vinuni-registrar-policy-index,Registrar Policy and Regulations,staff,registrar,academic-regulation,en,not-stated,public-source
https://registrar.vinuni.edu.vn/faqs/,vinuni-registrar-faqs,Registrar FAQs,student,registrar,faq,en,not-stated,public-source
https://daotao.ueh.edu.vn/quy-dinh-dang-ky-va-huy-hoc-phan-da-dang-ky-cua-sinh-vien-dai-hoc-chinh-quy-trong-dao-tao-theo-he-thong-tin-chi-tai-truong-dai-hoc-kinh-te-tp-ho-chi-minh/,ueh-dang-ky-huy-hoc-phan,Quy dinh dang ky va huy hoc phan UEH,student,dao-tao,course-registration,vi,not-stated,public-source
https://camnang.iuh.edu.vn/huong-dan-dang-ky-hoc-phan.php,iuh-huong-dan-dang-ky-hoc-phan,Huong dan dang ky hoc phan IUH,student,dao-tao,course-registration,vi,not-stated,public-source
https://vnuf.edu.vn/huong-dan-thuc-hien-quy-che-dao-tao-dai-hoc-cao-dang-he-chinh-quy-theo-he-thong-tin-chi.html,vnuf-huong-dan-quy-che-tin-chi,Huong dan thuc hien quy che dao tao theo he thong tin chi VNUF,faculty,dao-tao,academic-regulation,vi,not-stated,public-source
http://v1.ou.edu.vn/qldt/Pages/Quy-che-hoc-vu-theo-hoc-che-tin-chi.aspx,ou-quy-che-hoc-vu-tin-chi,Quy che hoc vu theo hoc che tin chi OU,student,dao-tao,academic-regulation,vi,not-stated,public-source
